"book_title","book_url","book_score","book_review_amount","book_info"
"斯通纳","https://book.douban.com/subject/26425831/","8.8","(34743人评价)","[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元"
"杀死一只知更鸟","https://book.douban.com/subject/26879778/","9.3","(22561人评价)","[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 48.00"
"献给阿尔吉侬的花束","https://book.douban.com/subject/26362836/","9.1","(18007人评价)","[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元"
"哈利·波特与魔法石","https://book.douban.com/subject/1041007/","9.1","(172576人评价)","[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元"
"失踪的孩子 : 那不勒斯四部曲-04","https://book.douban.com/subject/30172069/","9.1","(38007人评价)","[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元"
"刀锋","https://book.douban.com/subject/2035162/","9.0","(57068人评价)","[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元"
"南货店","https://book.douban.com/subject/35114602/","8.4","(489人评价)","张忌 / 中信出版集团 / 2020-7 / 69"
"猴杯","https://book.douban.com/subject/35023261/","8.7","(685人评价)","张贵兴 / 后浪丨四川人民出版社 / 2020-7 / 48.00元"
"了不起的盖茨比","https://book.douban.com/subject/1008988/","8.4","(108618人评价)","菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元"
"繁花","https://book.douban.com/subject/22714154/","8.7","(20764人评价)","金宇澄 / 上海文艺出版社 / 2013-3 / 48.00元"
"兄弟","https://book.douban.com/subject/20441957/","8.5","(29105人评价)","余华 / 作家出版社 / 2012-9-1 / 43.00元"
